position,team_name,points,league_name,season
14,Vitória Guimarães SC,37,Liga Nos,2003
15,FC Alverca,35,Liga Nos,2003
16,Belenenses,35,Liga Nos,2003
17,FC Paços de Ferreira,28,Liga Nos,2003
18,Clube Futebol Estrela da Amadora,17,Liga Nos,2003
1,Valencia CF,77,Primera Division,2003
2,FC Barcelona,72,Primera Division,2003
3,Deportivo de La Coruña,71,Primera Division,2003
4,Real Madrid,70,Primera Division,2003
5,Athletic Bilbao,56,Primera Division,2003
6,Sevilla FC,55,Primera Division,2003
7,Atlético de Madrid,55,Primera Division,2003
8,Villarreal CF,54,Primera Division,2003
9,Real Betis Balompié,52,Primera Division,2003
10,Málaga CF,51,Primera Division,2003
11,RCD Mallorca,51,Primera Division,2003
12,Real Zaragoza,48,Primera Division,2003
13,CA Osasuna,48,Primera Division,2003
14,Albacete Balompié,47,Primera Division,2003
15,Real Sociedad,46,Primera Division,2003
16,RCD Espanyol Barcelona,43,Primera Division,2003
17,Racing Santander,42,Primera Division,2003
18,Real Valladolid CF,41,Primera Division,2003
19,Celta de Vigo,39,Primera Division,2003
20,Real Murcia CF,26,Primera Division,2003
1,Chelsea FC,95,Premier League,2004
2,Arsenal FC,83,Premier League,2004
3,Manchester United,77,Premier League,2004
4,Everton FC,61,Premier League,2004
5,Liverpool FC,58,Premier League,2004
6,Bolton Wanderers,58,Premier League,2004
7,Middlesbrough FC,55,Premier League,2004
8,Manchester City,52,Premier League,2004
9,Tottenham Hotspur,52,Premier League,2004
10,Aston Villa,47,Premier League,2004
11,Charlton Athletic,46,Premier League,2004
12,Birmingham City,45,Premier League,2004
13,Fulham FC,44,Premier League,2004
14,Newcastle United,44,Premier League,2004
15,Blackburn Rovers,42,Premier League,2004
16,Portsmouth FC,39,Premier League,2004
17,West Bromwich Albion,34,Premier League,2004
18,Crystal Palace,33,Premier League,2004
19,Norwich City,33,Premier League,2004
20,Southampton FC,32,Premier League,2004
1,Olympique Lyon,79,Ligue 1,2004
2,LOSC Lille,67,Ligue 1,2004
3,AS Monaco,63,Ligue 1,2004
4,Stade Rennais FC,55,Ligue 1,2004
5,Olympique Marseille,55,Ligue 1,2004
6,AS Saint-Étienne,53,Ligue 1,2004
7,RC Lens,52,Ligue 1,2004
8,AJ Auxerre,52,Ligue 1,2004
9,Paris Saint-Germain,51,Ligue 1,2004
10,FC Sochaux-Montbéliard,50,Ligue 1,2004
11,RC Strasbourg Alsace,48,Ligue 1,2004
12,OGC Nice,46,Ligue 1,2004
13,FC Toulouse,46,Ligue 1,2004
14,AC Ajaccio,45,Ligue 1,2004
15,FC Girondins Bordeaux,44,Ligue 1,2004
16,FC Metz,44,Ligue 1,2004
17,FC Nantes,43,Ligue 1,2004
18,SM Caen,42,Ligue 1,2004
19,SC Bastia,41,Ligue 1,2004
20,FC Istres Ouest Provence,32,Ligue 1,2004
1,Bayern Munich,77,1 Bundesliga,2004
2,FC Schalke 04,63,1 Bundesliga,2004
3,SV Werder Bremen,59,1 Bundesliga,2004
4,Hertha BSC,58,1 Bundesliga,2004
5,VfB Stuttgart,58,1 Bundesliga,2004
6,Bayer 04 Leverkusen,57,1 Bundesliga,2004
7,Borussia Dortmund,55,1 Bundesliga,2004
8,Hamburger SV,51,1 Bundesliga,2004
9,VfL Wolfsburg,48,1 Bundesliga,2004
10,Hannover 96,45,1 Bundesliga,2004
11,1.FSV Mainz 05,43,1 Bundesliga,2004
12,1.FC Kaiserslautern,42,1 Bundesliga,2004
13,Arminia Bielefeld,40,1 Bundesliga,2004
14,1.FC Nuremberg,38,1 Bundesliga,2004
15,Borussia Mönchengladbach,36,1 Bundesliga,2004
16,VfL Bochum,35,1 Bundesliga,2004
17,FC Hansa Rostock,30,1 Bundesliga,2004
18,SC Freiburg,18,1 Bundesliga,2004
1,Juventus FC,86,Serie A,2004
2,AC Milan,79,Serie A,2004
3,Inter,72,Serie A,2004
4,Udinese Calcio,62,Serie A,2004
5,UC Sampdoria,61,Serie A,2004
6,US Palermo,53,Serie A,2004
7,FC Messina Peloro,48,Serie A,2004
8,AS Roma,45,Serie A,2004
9,AS Livorno,45,Serie A,2004
10,Reggina Calcio,44,Serie A,2004
11,US Lecce,44,Serie A,2004
12,Cagliari Calcio,44,Serie A,2004
13,SS Lazio,44,Serie A,2004
14,AC Siena,43,Serie A,2004
15,Chievo Verona,43,Serie A,2004
16,ACF Fiorentina,42,Serie A,2004
17,Bologna FC 1909,42,Serie A,2004
18,Parma Calcio 1913,42,Serie A,2004
19,Brescia Calcio,41,Serie A,2004
20,Atalanta BC,35,Serie A,2004
1,PSV Eindhoven,87,Eredivisie,2004
2,Ajax Amsterdam,77,Eredivisie,2004
3,AZ Alkmaar,64,Eredivisie,2004
4,Feyenoord Rotterdam,62,Eredivisie,2004
5,SC Heerenveen,60,Eredivisie,2004
6,Twente FC,54,Eredivisie,2004
7,Vitesse Arnhem,54,Eredivisie,2004
8,Roda JC Kerkrade,47,Eredivisie,2004
9,RKC Waalwijk,47,Eredivisie,2004
10,Willem II Tilburg,45,Eredivisie,2004
11,FC Utrecht,44,Eredivisie,2004
12,FC Groningen,40,Eredivisie,2004
13,NEC Nijmegen,37,Eredivisie,2004
14,ADO Den Haag,36,Eredivisie,2004
15,NAC Breda,35,Eredivisie,2004
16,RBC Roosendaal,32,Eredivisie,2004
17,De Graafschap Doetinchem,19,Eredivisie,2004
18,FC Den Bosch,19,Eredivisie,2004
1,SL Benfica,65,Liga Nos,2004
2,FC Porto,62,Liga Nos,2004
3,Sporting CP,61,Liga Nos,2004
4,SC Braga,58,Liga Nos,2004
5,Vitória Guimarães SC,54,Liga Nos,2004
6,Boavista FC,50,Liga Nos,2004
7,Marítimo,49,Liga Nos,2004
8,Rio Ave FC,47,Liga Nos,2004
9,Belenenses,46,Liga Nos,2004
10,Vitória Setúbal FC,44,Liga Nos,2004
11,FC Penafiel,43,Liga Nos,2004
12,CD Nacional,41,Liga Nos,2004
13,Gil Vicente FC,40,Liga Nos,2004
14,União de Leiria,38,Liga Nos,2004
15,Académica Coimbra,38,Liga Nos,2004
16,Moreirense FC,34,Liga Nos,2004
17,GD Estoril Praia,30,Liga Nos,2004
18,SC Beira-Mar,30,Liga Nos,2004
1,FC Barcelona,84,Primera Division,2004
2,Real Madrid,80,Primera Division,2004
3,Villarreal CF,65,Primera Division,2004
4,Real Betis Balompié,62,Primera Division,2004
5,RCD Espanyol Barcelona,61,Primera Division,2004
6,Sevilla FC,60,Primera Division,2004
7,Valencia CF,58,Primera Division,2004
8,Deportivo de La Coruña,51,Primera Division,2004
9,Athletic Bilbao,51,Primera Division,2004
10,Málaga CF,51,Primera Division,2004
11,Atlético de Madrid,50,Primera Division,2004
12,Real Zaragoza,50,Primera Division,2004
13,Getafe CF,47,Primera Division,2004
14,Real Sociedad,47,Primera Division,2004
15,CA Osasuna,46,Primera Division,2004
16,Racing Santander,44,Primera Division,2004
17,RCD Mallorca,39,Primera Division,2004
18,Levante UD,37,Primera Division,2004
19,CD Numancia,29,Primera Division,2004
20,Albacete Balompié,28,Primera Division,2004
1,Chelsea FC,91,Premier League,2005
2,Manchester United,83,Premier League,2005
3,Liverpool FC,82,Premier League,2005
4,Arsenal FC,67,Premier League,2005
5,Tottenham Hotspur,65,Premier League,2005
6,Blackburn Rovers,63,Premier League,2005
7,Newcastle United,58,Premier League,2005
8,Bolton Wanderers,56,Premier League,2005
9,West Ham United,55,Premier League,2005
10,Wigan Athletic,51,Premier League,2005
11,Everton FC,50,Premier League,2005
12,Fulham FC,48,Premier League,2005
13,Charlton Athletic,47,Premier League,2005
14,Middlesbrough FC,45,Premier League,2005
15,Manchester City,43,Premier League,2005
16,Aston Villa,42,Premier League,2005
17,Portsmouth FC,38,Premier League,2005
18,Birmingham City,34,Premier League,2005
19,West Bromwich Albion,30,Premier League,2005
20,Sunderland AFC,15,Premier League,2005
1,Olympique Lyon,84,Ligue 1,2005
2,FC Girondins Bordeaux,69,Ligue 1,2005
3,LOSC Lille,62,Ligue 1,2005
4,RC Lens,60,Ligue 1,2005
5,Olympique Marseille,60,Ligue 1,2005
6,AJ Auxerre,59,Ligue 1,2005
7,Stade Rennais FC,59,Ligue 1,2005
8,OGC Nice,58,Ligue 1,2005
9,Paris Saint-Germain,52,Ligue 1,2005
10,AS Monaco,52,Ligue 1,2005
11,Le Mans Union Club 72,52,Ligue 1,2005
12,AS Nancy-Lorraine,48,Ligue 1,2005
13,AS Saint-Étienne,47,Ligue 1,2005
14,FC Nantes,45,Ligue 1,2005
15,FC Sochaux-Montbéliard,44,Ligue 1,2005
16,FC Toulouse,41,Ligue 1,2005
17,Troyes,39,Ligue 1,2005
18,AC Ajaccio,33,Ligue 1,2005
19,RC Strasbourg Alsace,29,Ligue 1,2005
20,FC Metz,29,Ligue 1,2005
1,Bayern Munich,75,1 Bundesliga,2005
2,SV Werder Bremen,70,1 Bundesliga,2005
3,Hamburger SV,68,1 Bundesliga,2005
4,FC Schalke 04,61,1 Bundesliga,2005
5,Bayer 04 Leverkusen,52,1 Bundesliga,2005
6,Hertha BSC,48,1 Bundesliga,2005
7,Borussia Dortmund,46,1 Bundesliga,2005
8,1.FC Nuremberg,44,1 Bundesliga,2005
9,VfB Stuttgart,43,1 Bundesliga,2005
10,Borussia Mönchengladbach,42,1 Bundesliga,2005
11,1.FSV Mainz 05,38,1 Bundesliga,2005
12,Hannover 96,38,1 Bundesliga,2005
13,Arminia Bielefeld,37,1 Bundesliga,2005
14,Eintracht Frankfurt,36,1 Bundesliga,2005
15,VfL Wolfsburg,34,1 Bundesliga,2005
16,1.FC Kaiserslautern,33,1 Bundesliga,2005
17,1. FC Köln,30,1 Bundesliga,2005
18,MSV Duisburg,27,1 Bundesliga,2005
1,Inter,76,Serie A,2005
2,AS Roma,69,Serie A,2005
3,AC Milan,58,Serie A,2005
4,Chievo Verona,54,Serie A,2005
5,US Palermo,52,Serie A,2005
6,AS Livorno,49,Serie A,2005
7,Parma Calcio 1913,45,Serie A,2005
8,FC Empoli,45,Serie A,2005
9,ACF Fiorentina,44,Serie A,2005
10,Ascoli Calcio 1898,43,Serie A,2005
11,Udinese Calcio,43,Serie A,2005
12,UC Sampdoria,41,Serie A,2005
13,Reggina Calcio,41,Serie A,2005
14,Cagliari Calcio,39,Serie A,2005
15,AC Siena,39,Serie A,2005
16,SS Lazio,32,Serie A,2005
17,FC Messina Peloro,31,Serie A,2005
18,US Lecce,29,Serie A,2005
19,Treviso FBC 1993,21,Serie A,2005
20,Juventus FC,0,Serie A,2005
1,PSV Eindhoven,84,Eredivisie,2005
2,AZ Alkmaar,74,Eredivisie,2005
3,Feyenoord Rotterdam,71,Eredivisie,2005
4,Ajax Amsterdam,60,Eredivisie,2005
5,FC Groningen,56,Eredivisie,2005
6,FC Utrecht,55,Eredivisie,2005
7,SC Heerenveen,50,Eredivisie,2005
8,Roda JC Kerkrade,50,Eredivisie,2005
9,Twente FC,47,Eredivisie,2005
10,NEC Nijmegen,47,Eredivisie,2005
11,Vitesse Arnhem,44,Eredivisie,2005
12,RKC Waalwijk,39,Eredivisie,2005
13,Heracles Almelo,39,Eredivisie,2005
14,Sparta Rotterdam,37,Eredivisie,2005
15,ADO Den Haag,35,Eredivisie,2005
16,NAC Breda,33,Eredivisie,2005
17,Willem II Tilburg,28,Eredivisie,2005
18,RBC Roosendaal,9,Eredivisie,2005
1,FC Porto,79,Liga Nos,2005
2,Sporting CP,72,Liga Nos,2005
3,SL Benfica,67,Liga Nos,2005
4,SC Braga,58,Liga Nos,2005
5,CD Nacional,52,Liga Nos,2005
6,Boavista FC,50,Liga Nos,2005
7,União de Leiria,47,Liga Nos,2005
8,Vitória Setúbal FC,46,Liga Nos,2005
9,Clube Futebol Estrela da Amadora,45,Liga Nos,2005
10,Marítimo,44,Liga Nos,2005
11,FC Paços de Ferreira,42,Liga Nos,2005
12,Gil Vicente FC,40,Liga Nos,2005
13,Belenenses,39,Liga Nos,2005
14,Académica Coimbra,39,Liga Nos,2005
15,Naval 1º de Maio,39,Liga Nos,2005
16,Vitória Guimarães SC,34,Liga Nos,2005
17,Rio Ave FC,34,Liga Nos,2005
18,FC Penafiel,15,Liga Nos,2005
1,FC Barcelona,82,Primera Division,2005
2,Real Madrid,70,Primera Division,2005
3,Valencia CF,69,Primera Division,2005
4,CA Osasuna,68,Primera Division,2005
5,Sevilla FC,68,Primera Division,2005
6,Celta de Vigo,64,Primera Division,2005
7,Villarreal CF,57,Primera Division,2005
8,Deportivo de La Coruña,55,Primera Division,2005
9,Getafe CF,54,Primera Division,2005
10,Atlético de Madrid,52,Primera Division,2005
11,Real Zaragoza,46,Primera Division,2005
12,Athletic Bilbao,45,Primera Division,2005
13,RCD Mallorca,43,Primera Division,2005
14,Real Betis Balompié,42,Primera Division,2005
15,RCD Espanyol Barcelona,41,Primera Division,2005
16,Real Sociedad,40,Primera Division,2005
17,Racing Santander,40,Primera Division,2005
18,Deportivo Alavés,39,Primera Division,2005
19,Cádiz CF,36,Primera Division,2005
20,Málaga CF,24,Primera Division,2005
1,Manchester United,89,Premier League,2006
2,Chelsea FC,83,Premier League,2006
3,Liverpool FC,68,Premier League,2006
4,Arsenal FC,68,Premier League,2006
5,Tottenham Hotspur,60,Premier League,2006
6,Everton FC,58,Premier League,2006
7,Bolton Wanderers,56,Premier League,2006
8,Reading FC,55,Premier League,2006
9,Portsmouth FC,54,Premier League,2006
10,Blackburn Rovers,52,Premier League,2006
11,Aston Villa,50,Premier League,2006
12,Middlesbrough FC,46,Premier League,2006
13,Newcastle United,43,Premier League,2006
14,Manchester City,42,Premier League,2006
15,West Ham United,41,Premier League,2006
16,Fulham FC,39,Premier League,2006
17,Wigan Athletic,38,Premier League,2006
18,Sheffield United,38,Premier League,2006
19,Charlton Athletic,34,Premier League,2006
20,Watford FC,28,Premier League,2006
1,Olympique Lyon,81,Ligue 1,2006
2,Olympique Marseille,64,Ligue 1,2006
3,FC Toulouse,58,Ligue 1,2006
4,Stade Rennais FC,57,Ligue 1,2006
5,RC Lens,57,Ligue 1,2006
6,FC Girondins Bordeaux,57,Ligue 1,2006
7,FC Sochaux-Montbéliard,57,Ligue 1,2006
8,AJ Auxerre,54,Ligue 1,2006
9,AS Monaco,51,Ligue 1,2006
10,LOSC Lille,50,Ligue 1,2006
11,AS Saint-Étienne,49,Ligue 1,2006
12,Le Mans Union Club 72,49,Ligue 1,2006
13,AS Nancy-Lorraine,49,Ligue 1,2006
14,FC Lorient,49,Ligue 1,2006
15,Paris Saint-Germain,48,Ligue 1,2006
16,OGC Nice,43,Ligue 1,2006
17,Valenciennes FC,43,Ligue 1,2006
18,Troyes,39,Ligue 1,2006
19,CS Sedan-Ardennes,35,Ligue 1,2006
20,FC Nantes,34,Ligue 1,2006
1,VfB Stuttgart,70,1 Bundesliga,2006
2,FC Schalke 04,68,1 Bundesliga,2006
3,SV Werder Bremen,66,1 Bundesliga,2006
4,Bayern Munich,60,1 Bundesliga,2006
5,Bayer 04 Leverkusen,51,1 Bundesliga,2006
6,1.FC Nuremberg,48,1 Bundesliga,2006
7,Hamburger SV,45,1 Bundesliga,2006
8,VfL Bochum,45,1 Bundesliga,2006
9,Borussia Dortmund,44,1 Bundesliga,2006
10,Hertha BSC,44,1 Bundesliga,2006
11,Hannover 96,44,1 Bundesliga,2006
12,Arminia Bielefeld,42,1 Bundesliga,2006
13,FC Energie Cottbus,41,1 Bundesliga,2006
14,Eintracht Frankfurt,40,1 Bundesliga,2006
15,VfL Wolfsburg,37,1 Bundesliga,2006
16,1.FSV Mainz 05,34,1 Bundesliga,2006
17,Alemannia Aachen,34,1 Bundesliga,2006
18,Borussia Mönchengladbach,26,1 Bundesliga,2006
1,Inter,97,Serie A,2006
2,AS Roma,75,Serie A,2006
3,SS Lazio,62,Serie A,2006
4,AC Milan,61,Serie A,2006
5,US Palermo,58,Serie A,2006
6,ACF Fiorentina,58,Serie A,2006
7,FC Empoli,54,Serie A,2006
8,Atalanta BC,50,Serie A,2006
9,UC Sampdoria,49,Serie A,2006
10,Udinese Calcio,46,Serie A,2006
11,AS Livorno,43,Serie A,2006
12,Parma Calcio 1913,42,Serie A,2006
13,Catania SSD,41,Serie A,2006
14,Reggina Calcio,40,Serie A,2006
15,AC Siena,40,Serie A,2006
16,Torino FC,40,Serie A,2006
17,Cagliari Calcio,40,Serie A,2006
18,Chievo Verona,39,Serie A,2006
19,Ascoli Calcio 1898,27,Serie A,2006
20,FC Messina Peloro,26,Serie A,2006
1,PSV Eindhoven,75,Eredivisie,2006
2,Ajax Amsterdam,75,Eredivisie,2006
3,AZ Alkmaar,72,Eredivisie,2006
4,Twente FC,66,Eredivisie,2006
5,SC Heerenveen,55,Eredivisie,2006
6,Roda JC Kerkrade,54,Eredivisie,2006
7,Feyenoord Rotterdam,53,Eredivisie,2006
8,FC Groningen,51,Eredivisie,2006
9,FC Utrecht,48,Eredivisie,2006
10,NEC Nijmegen,44,Eredivisie,2006
11,NAC Breda,43,Eredivisie,2006
12,Vitesse Arnhem,38,Eredivisie,2006
13,Sparta Rotterdam,37,Eredivisie,2006
14,Heracles Almelo,32,Eredivisie,2006
15,Willem II Tilburg,31,Eredivisie,2006
16,Excelsior,30,Eredivisie,2006
17,RKC Waalwijk,27,Eredivisie,2006
18,ADO Den Haag,17,Eredivisie,2006
1,FC Porto,69,Liga Nos,2006
2,Sporting CP,68,Liga Nos,2006
3,SL Benfica,67,Liga Nos,2006
4,SC Braga,50,Liga Nos,2006
5,Belenenses,49,Liga Nos,2006
6,FC Paços de Ferreira,42,Liga Nos,2006
7,União de Leiria,41,Liga Nos,2006
8,CD Nacional,39,Liga Nos,2006
9,Boavista FC,35,Liga Nos,2006
10,Clube Futebol Estrela da Amadora,35,Liga Nos,2006
11,Naval 1º de Maio,32,Liga Nos,2006
12,Marítimo,32,Liga Nos,2006
13,Académica Coimbra,26,Liga Nos,2006
14,Vitória Setúbal FC,24,Liga Nos,2006
15,SC Beira-Mar,23,Liga Nos,2006
16,Desportivo Aves (- 2020),22,Liga Nos,2006
1,Real Madrid,76,Primera Division,2006
2,FC Barcelona,76,Primera Division,2006
3,Sevilla FC,71,Primera Division,2006
4,Valencia CF,66,Primera Division,2006
5,Villarreal CF,62,Primera Division,2006
6,Real Zaragoza,60,Primera Division,2006
7,Atlético de Madrid,60,Primera Division,2006
8,Recreativo Huelva,54,Primera Division,2006
9,Getafe CF,52,Primera Division,2006
10,Racing Santander,50,Primera Division,2006
11,RCD Mallorca,49,Primera Division,2006
12,RCD Espanyol Barcelona,49,Primera Division,2006
13,Deportivo de La Coruña,47,Primera Division,2006
14,CA Osasuna,46,Primera Division,2006
15,Levante UD,42,Primera Division,2006
16,Real Betis Balompié,40,Primera Division,2006
17,Athletic Bilbao,40,Primera Division,2006
18,Celta de Vigo,39,Primera Division,2006
19,Real Sociedad,35,Primera Division,2006
20,Gimnàstic de Tarragona,28,Primera Division,2006
1,Manchester United,87,Premier League,2007
2,Chelsea FC,85,Premier League,2007
3,Arsenal FC,83,Premier League,2007
4,Liverpool FC,76,Premier League,2007
5,Everton FC,65,Premier League,2007
6,Aston Villa,60,Premier League,2007
7,Blackburn Rovers,58,Premier League,2007
8,Portsmouth FC,57,Premier League,2007
9,Manchester City,55,Premier League,2007
10,West Ham United,49,Premier League,2007
11,Tottenham Hotspur,46,Premier League,2007
12,Newcastle United,43,Premier League,2007
13,Middlesbrough FC,42,Premier League,2007
14,Wigan Athletic,40,Premier League,2007
15,Sunderland AFC,39,Premier League,2007
16,Bolton Wanderers,37,Premier League,2007
17,Fulham FC,36,Premier League,2007
18,Reading FC,36,Premier League,2007
19,Birmingham City,35,Premier League,2007
20,Derby County,11,Premier League,2007
1,Olympique Lyon,79,Ligue 1,2007
2,FC Girondins Bordeaux,75,Ligue 1,2007
3,Olympique Marseille,62,Ligue 1,2007
4,AS Nancy-Lorraine,60,Ligue 1,2007
5,AS Saint-Étienne,58,Ligue 1,2007
6,Stade Rennais FC,58,Ligue 1,2007
7,LOSC Lille,57,Ligue 1,2007
8,OGC Nice,55,Ligue 1,2007
9,Le Mans Union Club 72,53,Ligue 1,2007
10,FC Lorient,52,Ligue 1,2007
11,SM Caen,51,Ligue 1,2007
12,AS Monaco,47,Ligue 1,2007
13,Valenciennes FC,45,Ligue 1,2007
14,FC Sochaux-Montbéliard,44,Ligue 1,2007
15,AJ Auxerre,44,Ligue 1,2007
16,Paris Saint-Germain,43,Ligue 1,2007
17,FC Toulouse,42,Ligue 1,2007
18,RC Lens,40,Ligue 1,2007
19,RC Strasbourg Alsace,35,Ligue 1,2007
20,FC Metz,24,Ligue 1,2007
1,Bayern Munich,76,1 Bundesliga,2007
2,SV Werder Bremen,66,1 Bundesliga,2007
3,FC Schalke 04,64,1 Bundesliga,2007
4,Hamburger SV,54,1 Bundesliga,2007
5,VfL Wolfsburg,54,1 Bundesliga,2007
6,VfB Stuttgart,52,1 Bundesliga,2007
7,Bayer 04 Leverkusen,51,1 Bundesliga,2007
8,Hannover 96,49,1 Bundesliga,2007
9,Eintracht Frankfurt,46,1 Bundesliga,2007
10,Hertha BSC,44,1 Bundesliga,2007
11,Karlsruher SC,43,1 Bundesliga,2007
12,VfL Bochum,41,1 Bundesliga,2007
13,Borussia Dortmund,40,1 Bundesliga,2007
14,FC Energie Cottbus,36,1 Bundesliga,2007
15,Arminia Bielefeld,34,1 Bundesliga,2007
16,1.FC Nuremberg,31,1 Bundesliga,2007
17,FC Hansa Rostock,30,1 Bundesliga,2007
18,MSV Duisburg,29,1 Bundesliga,2007
1,Inter,85,Serie A,2007
2,AS Roma,82,Serie A,2007
3,Juventus FC,72,Serie A,2007
4,ACF Fiorentina,66,Serie A,2007
5,AC Milan,64,Serie A,2007
6,UC Sampdoria,60,Serie A,2007
7,Udinese Calcio,57,Serie A,2007
8,SSC Napoli,50,Serie A,2007
9,Atalanta BC,48,Serie A,2007
10,Genoa CFC,48,Serie A,2007
11,US Palermo,47,Serie A,2007
12,SS Lazio,46,Serie A,2007
13,AC Siena,44,Serie A,2007
14,Cagliari Calcio,42,Serie A,2007
15,Torino FC,40,Serie A,2007
16,Reggina Calcio,40,Serie A,2007
17,Catania SSD,37,Serie A,2007
18,FC Empoli,36,Serie A,2007
19,Parma Calcio 1913,34,Serie A,2007
20,AS Livorno,30,Serie A,2007
1,PSV Eindhoven,72,Eredivisie,2007
2,Ajax Amsterdam,69,Eredivisie,2007
3,NAC Breda,63,Eredivisie,2007
4,Twente FC,62,Eredivisie,2007
5,SC Heerenveen,60,Eredivisie,2007
6,Feyenoord Rotterdam,60,Eredivisie,2007
7,FC Groningen,51,Eredivisie,2007
8,NEC Nijmegen,49,Eredivisie,2007
9,Roda JC Kerkrade,47,Eredivisie,2007
10,FC Utrecht,46,Eredivisie,2007
11,AZ Alkmaar,43,Eredivisie,2007
12,Vitesse Arnhem,43,Eredivisie,2007
13,Sparta Rotterdam,34,Eredivisie,2007
14,Heracles Almelo,32,Eredivisie,2007
15,Willem II Tilburg,31,Eredivisie,2007
16,De Graafschap Doetinchem,30,Eredivisie,2007
17,VVV-Venlo,29,Eredivisie,2007
18,Excelsior,27,Eredivisie,2007
1,FC Porto,69,Liga Nos,2007
2,Sporting CP,55,Liga Nos,2007
3,Vitória Guimarães SC,53,Liga Nos,2007
4,SL Benfica,52,Liga Nos,2007
5,Marítimo,46,Liga Nos,2007
6,Vitória Setúbal FC,45,Liga Nos,2007
7,Belenenses,43,Liga Nos,2007
8,SC Braga,41,Liga Nos,2007
9,Boavista FC,36,Liga Nos,2007
10,CD Nacional,35,Liga Nos,2007
11,Académica Coimbra,32,Liga Nos,2007
12,Clube Futebol Estrela da Amadora,31,Liga Nos,2007
13,Naval 1º de Maio,31,Liga Nos,2007
14,Leixões SC,26,Liga Nos,2007
15,FC Paços de Ferreira,25,Liga Nos,2007
16,União de Leiria,16,Liga Nos,2007
1,Real Madrid,85,Primera Division,2007
2,Villarreal CF,77,Primera Division,2007
3,FC Barcelona,67,Primera Division,2007
4,Atlético de Madrid,64,Primera Division,2007
5,Sevilla FC,64,Primera Division,2007
6,Racing Santander,60,Primera Division,2007
7,RCD Mallorca,59,Primera Division,2007
8,UD Almería,52,Primera Division,2007
9,Deportivo de La Coruña,52,Primera Division,2007
10,Valencia CF,51,Primera Division,2007
11,Athletic Bilbao,50,Primera Division,2007
12,RCD Espanyol Barcelona,48,Primera Division,2007
13,Real Betis Balompié,47,Primera Division,2007
14,Getafe CF,47,Primera Division,2007
15,Real Valladolid CF,45,Primera Division,2007
16,Recreativo Huelva,44,Primera Division,2007
17,CA Osasuna,43,Primera Division,2007
18,Real Zaragoza,42,Primera Division,2007
19,Real Murcia CF,30,Primera Division,2007
20,Levante UD,26,Primera Division,2007
1,Manchester United,90,Premier League,2008
2,Liverpool FC,86,Premier League,2008
3,Chelsea FC,83,Premier League,2008
4,Arsenal FC,72,Premier League,2008
5,Everton FC,63,Premier League,2008
6,Aston Villa,62,Premier League,2008
7,Fulham FC,53,Premier League,2008
8,Tottenham Hotspur,51,Premier League,2008
9,West Ham United,51,Premier League,2008
10,Manchester City,50,Premier League,2008
11,Wigan Athletic,45,Premier League,2008
12,Stoke City,45,Premier League,2008
13,Bolton Wanderers,41,Premier League,2008
14,Portsmouth FC,41,Premier League,2008
15,Blackburn Rovers,41,Premier League,2008
16,Sunderland AFC,36,Premier League,2008
17,Hull City,35,Premier League,2008
18,Newcastle United,34,Premier League,2008
19,Middlesbrough FC,32,Premier League,2008
20,West Bromwich Albion,32,Premier League,2008
1,FC Girondins Bordeaux,80,Ligue 1,2008
2,Olympique Marseille,77,Ligue 1,2008
3,Olympique Lyon,71,Ligue 1,2008
4,FC Toulouse,64,Ligue 1,2008
5,LOSC Lille,64,Ligue 1,2008
6,Paris Saint-Germain,64,Ligue 1,2008
7,Stade Rennais FC,61,Ligue 1,2008
8,AJ Auxerre,55,Ligue 1,2008
9,OGC Nice,50,Ligue 1,2008
10,FC Lorient,45,Ligue 1,2008
11,AS Monaco,45,Ligue 1,2008
12,Valenciennes FC,44,Ligue 1,2008
13,Grenoble Foot 38,44,Ligue 1,2008
14,FC Sochaux-Montbéliard,42,Ligue 1,2008
15,AS Nancy-Lorraine,42,Ligue 1,2008
16,Le Mans Union Club 72,40,Ligue 1,2008
17,AS Saint-Étienne,40,Ligue 1,2008
18,SM Caen,37,Ligue 1,2008
19,FC Nantes,37,Ligue 1,2008
20,AC Le Havre,26,Ligue 1,2008
1,VfL Wolfsburg,69,1 Bundesliga,2008
2,Bayern Munich,67,1 Bundesliga,2008
3,VfB Stuttgart,64,1 Bundesliga,2008
4,Hertha BSC,63,1 Bundesliga,2008
5,Hamburger SV,61,1 Bundesliga,2008
6,Borussia Dortmund,59,1 Bundesliga,2008
7,TSG 1899 Hoffenheim,55,1 Bundesliga,2008
8,FC Schalke 04,50,1 Bundesliga,2008
9,Bayer 04 Leverkusen,49,1 Bundesliga,2008
10,SV Werder Bremen,45,1 Bundesliga,2008
11,Hannover 96,40,1 Bundesliga,2008
12,1. FC Köln,39,1 Bundesliga,2008
13,Eintracht Frankfurt,33,1 Bundesliga,2008
14,VfL Bochum,32,1 Bundesliga,2008
15,Borussia Mönchengladbach,31,1 Bundesliga,2008
16,FC Energie Cottbus,30,1 Bundesliga,2008
17,Karlsruher SC,29,1 Bundesliga,2008
18,Arminia Bielefeld,28,1 Bundesliga,2008
1,Inter,84,Serie A,2008
2,Juventus FC,74,Serie A,2008
3,AC Milan,74,Serie A,2008
4,ACF Fiorentina,68,Serie A,2008
5,Genoa CFC,68,Serie A,2008
6,AS Roma,63,Serie A,2008
7,Udinese Calcio,58,Serie A,2008
8,US Palermo,57,Serie A,2008
